Node,Node.label,Class,Order,Family,Genus,Trait,Interval.my,Log10Years,d,sd,Taxa,Comparisons,Within.order,Within.family,Within.genus,Tree.source,Trait.source,Comments
5,13,Aves,Anseriformes,Anatidae,Anser,Log(mass)/3,0.70799293,5.850028921,0,NA,2,1,1,1,1,"Ruolonen, M., L. Kvist, and J. Lumme. 2000. Close relatedness between mitochondrial DNA from seven Anser good species.  J. Evol. Biol. 13:532-540.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
3,11,Aves,Anseriformes,Anatidae,Anser,Log(mass)/3,0.711601456,5.852236828,0.151078737,NA,2,1,1,1,1,"Ruolonen, M., L. Kvist, and J. Lumme. 2000. Close relatedness between mitochondrial DNA from seven Anser good species.  J. Evol. Biol. 13:532-540.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
4,12,Aves,Anseriformes,Anatidae,Anser,Log(mass)/3,0.853055701,5.93097739,0,NA,2,1,1,1,1,"Ruolonen, M., L. Kvist, and J. Lumme. 2000. Close relatedness between mitochondrial DNA from seven Anser good species.  J. Evol. Biol. 13:532-540.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
2,10,Aves,Anseriformes,Anatidae,Anser,Log(mass)/3,1.240611464,6.09363579,0.060057043,0.1068288,3,2,1,1,1,"Ruolonen, M., L. Kvist, and J. Lumme. 2000. Close relatedness between mitochondrial DNA from seven Anser good species.  J. Evol. Biol. 13:532-540.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
1,9,Aves,Anseriformes,Anatidae,Anser,Log(mass)/3,2.424689344,6.384656104,-0.025319574,0.074342338,5,6,1,1,1,"Ruolonen, M., L. Kvist, and J. Lumme. 2000. Close relatedness between mitochondrial DNA from seven Anser good species.  J. Evol. Biol. 13:532-540.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
0,8,Aves,Anseriformes,Anatidae,Anser,Log(mass)/3,3.966420328,6.598398735,-0.104518149,0.056933207,7,10,1,1,1,"Ruolonen, M., L. Kvist, and J. Lumme. 2000. Close relatedness between mitochondrial DNA from seven Anser good species.  J. Evol. Biol. 13:532-540.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
88,375,Aves,Charadriiformes,Alcidae,Aethia,Log(mass)/3,13.192,7.120310643,-0.095894024,NA,2,1,1,1,1,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
87,374,Aves,Charadriiformes,Alcidae,Aethia,Log(mass)/3,16.646,7.22130989,-0.047947012,0.463908655,3,2,1,1,1,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
85,372,Aves,Charadriiformes,Alcidae,Brachyramphus,Log(mass)/3,19.326,7.286141975,-0.020564523,NA,2,1,1,1,1,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
84,371,Aves,Charadriiformes,Alcidae,Cepphus,Log(mass)/3,7.89,6.897077003,0.026157205,NA,2,1,1,1,1,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
